,bitcount,blowfish,bzip2,crc32,dijkstra,gsm,jpeg-c,jpeg-d,patricia,qsort,sha,stringsearch,stringsearch2,susan,tiff2bw,tiff2rgba,tiffdither,tiffmedian
67,542313111,748584,201591773,4396746,262076,53659248,13605733,3673060,521175,140447127,403796,420892,3846933,42185327,5365094,14857300,4418524,7089342
68,542313111,748584,201591773,4396746,262076,53659248,13605733,3673060,521175,140447127,403796,420892,3846933,42185327,5365094,14857300,4418524,7089342
69,525719426,748584,198695264,4396746,262076,53174319,13605746,3671520,521175,140447127,403796,420892,3846933,42185327,5365095,12390760,4346156,7092630
70,525719426,748584,198695264,4396746,262076,53174319,13605746,3671520,521175,140447127,403796,420892,3846933,42185327,5365095,12390760,4346156,7092630
71,525719426,748584,198695264,4396746,262076,53174319,13605746,3671520,521175,140447127,403796,420892,3846933,42185327,5365095,12390760,4346156,7092630
72,524313173,748584,196109069,4396746,262076,53167070,13578129,3637877,518166,140603388,403792,419089,3846933,42185327,5365378,12428107,4348035,7092416
73,524313173,748584,196109061,4396746,262076,53167070,13578125,3637863,518166,140603388,403792,419089,3846933,42185327,5365389,12428111,4348030,7092412
74,524313173,748584,196109061,4396746,262076,53167070,13578125,3637863,518166,140603388,403792,419089,3846933,42185327,5365389,12428111,4348030,7092412
75,524313173,748054,195272182,4396746,262076,53119252,13578124,3637503,518166,140603388,403800,419814,3846933,42185319,5365380,12428113,4348032,7058574
76,524313173,747550,196109061,4396746,262076,53123118,13578124,3637503,518166,140603388,403802,420034,3846933,42185319,5365380,12428113,4348032,7058574
77,524313173,747550,196109061,4396746,262076,53123118,13578124,3637503,518166,140603388,403802,420034,3846933,42185319,5365380,12428113,4348032,7058574
78,525438169,747550,201366625,4396746,262076,53123118,13605737,3669812,517680,140447127,403806,420180,3846933,42185319,5365096,12427829,4347816,7058307
79,525438169,747550,202984682,4396746,262076,53092693,13605028,3669445,512412,140447127,403806,420672,3846933,42185319,5365100,12395262,4346230,7091383
80,524313173,747550,192716404,4396746,262076,53092693,13577371,3638207,512373,140603388,403802,419932,3846933,42185319,5365384,12395546,4346446,7092090
81,524313173,747550,192716404,4396746,262076,53092693,13577371,3638207,512373,140603388,403802,419932,3846933,42185319,5365384,12395546,4346446,7092090
82,525438169,747550,202984348,4396746,262076,53092693,13604966,3670865,512313,140447127,403806,420672,3846933,42185319,5365096,12395262,4346226,7091823
83,525438169,747550,202984362,4396746,262076,53092693,13604962,3670939,512313,140447127,403806,420672,3846933,42185319,5365100,12395262,4346230,7091823
84,525438169,747550,202984362,4396746,262076,53092693,13604962,3670939,512313,140447127,403806,420672,3846933,42185319,5365100,12395262,4346230,7091823
85,525438169,747550,202984362,4396746,262076,53092693,13604962,3670939,512313,140447127,403806,420672,3846933,42185319,5365100,12395262,4346230,7091823
86,525438169,747550,202984362,4396746,262076,53092693,13604962,3670939,512313,140447127,403806,420672,3846933,42185319,5365100,12395262,4346230,7091823
87,525438169,747550,202984362,4396746,262076,53092693,13604962,3670934,512313,140447127,403806,420672,3846933,42185319,5365103,12395262,4346219,7091823
88,525438169,747550,202984362,4396746,262076,53092693,13604962,3670934,512313,140447127,403806,420672,3846933,42185319,5365103,12395262,4346219,7091823
89,525438169,747550,202984362,4396746,262076,53092693,13604962,3670934,512313,140447127,403806,420672,3846933,42185319,5365103,12395262,4346219,7091823
90,525438169,747550,202984362,4396746,262076,53092693,13604962,3670934,512313,140447127,403806,420672,3846933,42185319,5365103,12395262,4346219,7091823
91,524313173,747550,192716355,4396746,262076,53092693,13577375,3638433,512373,140603388,403802,419932,3846933,42185319,5365387,12395546,4346435,7092090
92,524313173,747550,192716355,4396746,262076,53092693,13577371,3638429,512373,140603388,403802,419932,3846933,42185319,5365387,12395546,4346435,7092090
93,524313173,747550,192716355,4396746,262076,53092693,13577366,3638429,512188,140603388,403802,419932,3846933,42185319,5365387,12395546,4346435,7092090
