,bitcount,blowfish,bzip2,crc32,dijkstra,gsm,jpeg-c,jpeg-d,patricia,qsort,sha,stringsearch,stringsearch2,susan,tiff2bw,tiff2rgba,tiffdither,tiffmedian
65,541188079,746802,187818389,4396745,262076,53699819,13642187,3640486,521040,140603388,403792,419011,9376646,41988592,5365327,14858004,4418680,7079072
66,541188079,746802,187818389,4396745,262076,53699819,13642187,3640486,521040,140603388,403792,419011,9376646,41988592,5365327,14858004,4418680,7079072
67,541188079,746802,187818389,4396745,262076,53699819,13642187,3640486,521040,140603388,403792,419011,9376646,41988592,5365327,14858004,4418680,7079072
68,541188079,746802,187818389,4396745,262076,53699819,13642187,3640486,521040,140603388,403792,419011,9376646,41988592,5365327,14858004,4418680,7079072
69,541188079,746802,187818389,4396745,262076,53699819,13642187,3640486,521040,140603388,403792,419011,9376646,41988592,5365327,14858004,4418680,7079072
70,542313159,746802,190194642,4396745,262076,53699819,13669908,3673701,520910,140447127,403796,420814,9376646,41988584,5365315,14857992,4418672,7079061
71,542313159,746802,201591784,4396745,262076,53699819,13610984,3673696,522043,140447127,403796,420814,9376646,41988584,5365311,14857424,4418677,7079065
72,542313159,746802,201591784,4396745,262076,53699819,13610984,3673696,522043,140447127,403796,420814,9376646,41988584,5365311,14857424,4418677,7079065
73,525719402,746802,198695255,4396745,262076,53214891,13611639,3672082,522043,140447127,403796,420814,9376646,41988584,5365311,12390883,4346308,7082348
74,525719402,746802,198695255,4396745,262076,53214891,13611639,3672082,522043,140447127,403796,420814,9376646,41988584,5365311,12390883,4346308,7082348
75,525719402,746802,198695255,4396745,262076,53214891,13611639,3672082,522043,140447127,403796,420814,9376646,41988584,5365311,12390883,4346308,7082348
76,524313125,746802,196109052,4396745,262076,53207642,13583673,3638136,518226,140603388,403792,419011,9376646,41988592,5365327,12427955,4347975,7081879
77,524313125,746802,196109048,4396745,262076,53207642,13583673,3638136,518226,140603388,403792,419011,9376646,41988592,5365323,12427959,4347980,7081875
78,524313125,746272,195272169,4396745,262076,53159828,13583677,3638093,518226,140603388,403800,419736,9376646,41988576,5365336,12427961,4347982,7048033
79,524313125,745768,196109048,4396745,262076,53163694,13583673,3638081,518226,140603388,403802,419956,9376646,41988576,5365336,12427961,4347982,7048033
80,524313125,745768,196109048,4396745,262076,53163694,13583673,3638081,518226,140603388,403802,419956,9376646,41988576,5365336,12427961,4347982,7048033
81,525438145,745768,201366620,4396745,262076,53163694,13611313,3670742,517260,140447127,403806,420102,9376646,41988584,5365324,12427949,4347974,7048022
82,525438145,745768,202984309,4396745,262076,53133265,13611079,3671000,512408,140447127,403806,420594,9376646,41988592,5365313,12395378,4346383,7081102
83,524313125,745768,192716227,4396745,262076,53133265,13583590,3639293,512181,140603388,403802,419854,9376646,41988592,5365325,12395390,4346391,7081553
